#gene	refseq	ensembl
OR4F5	NM_001005484.2	ENST00000641515.2
C1orf174	NM_207356.3	ENST00000361605.4
AJAP1	NM_018836.4	ENST00000378191.5
NPHP4	NM_015102.5	ENST00000378156.9
KCNAB2	NM_001199862.2	ENST00000378083.8
CHD5	NM_015557.3	ENST00000262450.8
RPL22	NM_000983.4	ENST00000234875.9
RNF207	NM_207396.3	ENST00000377939.5
ICMT	NM_012405.4	ENST00000343813.10
HES3	NM_001024598.4	ENST00000377898.4
GPR153	NM_207370.4	ENST00000377893.3
ACOT7	NM_007274.4	ENST00000361521.9
HES2	NM_019089.5	ENST00000377834.8
ESPN	NM_031475.3	ENST00000645284.1
TNFRSF25	NM_003790.3	ENST00000356876.8
PLEKHG5	NM_020631.6	ENST00000377728.8
NOL9	NM_024654.5	ENST00000377705.6
TAS1R1	NM_138697.4	ENST00000333172.11
ZBTB48	NM_005341.4	ENST00000377674.9
KLHL21	NM_014851.4	ENST00000377658.8
PHF13	NM_153812.3	ENST00000377648.5
THAP3	NM_001195753.2	ENST00000054650.9
DNAJC11	NM_018198.4	ENST00000377577.10
CAMTA1	NM_015215.4	ENST00000303635.12
VAMP3	NM_004781.4	ENST00000054666.11
PER3	NM_001377275.1	ENST00000377532.8
UTS2	NM_006786.4	ENST00000361696.10
TNFRSF9	NM_001561.6	ENST00000377507.8
PARK7	NM_007262.5	ENST00000338639.10
ERRFI1	NM_018948.4	ENST00000377482.10
SLC45A1	NM_001080397.3	ENST00000471889.7
RERE	NM_001042681.2	ENST00000400908.7
ENO1	NM_001428.5	ENST00000234590.10
CA6	NM_001215.4	ENST00000377443.7
SLC2A7	NM_207420.3	ENST00000400906.2
SLC2A5	NM_003039.3	ENST00000377424.9
GPR157	NM_024980.5	ENST00000377411.5
H6PD	NM_004285.4	ENST00000377403.7
SPSB1	NM_025106.4	ENST00000328089.11
SLC25A33	NM_032315.3	ENST00000302692.7
TMEM201	NM_001130924.3	ENST00000340381.11
PIK3CD	NM_005026.5	ENST00000377346.9
CLSTN1	NM_001009566.3	ENST00000377298.9
CTNNBIP1	NM_020248.3	ENST00000377263.6
LZIC	NM_032368.5	ENST00000377223.6
NMNAT1	NM_022787.4	ENST00000377205.6
RBP7	NM_052960.3	ENST00000294435.8
UBE4B	NM_001105562.3	ENST00000343090.11
KIF1B	NM_001365951.3	ENST00000676179.1
PGD	NM_002631.4	ENST00000270776.13
CENPS	NM_199294.3	ENST00000309048.8
CORT	NM_001302.5	ENST00000377049.4
DFFA	NM_004401.3	ENST00000377038.8
PEX14	NM_004565.3	ENST00000356607.9
CASZ1	NM_001079843.3	ENST00000377022.8
C1orf127	NM_001170754.2	ENST00000377004.9
TARDBP	NM_007375.4	ENST00000240185.8
MASP2	NM_006610.4	ENST00000400897.8
SRM	NM_003132.3	ENST00000376957.7
EXOSC10	NM_001001998.3	ENST00000376936.9
MTOR	NM_004958.4	ENST00000361445.9
ANGPTL7	NM_021146.4	ENST00000376819.4
UBIAD1	NM_013319.3	ENST00000376810.6
DISP3	NM_020780.2	ENST00000294484.7
FBXO2	NM_012168.6	ENST00000354287.5
FBXO44	NM_033182.7	ENST00000251547.10
FBXO6	NM_018438.6	ENST00000376753.9
MAD2L2	NM_006341.4	ENST00000376692.9
DRAXIN	NM_198545.4	ENST00000294485.6
AGTRAP	NM_020350.5	ENST00000314340.10
C1orf167	NM_001010881.2	ENST00000688073.1
MTHFR	NM_005957.5	ENST00000376590.9
CLCN6	NM_001286.5	ENST00000346436.11
NPPA	NM_006172.4	ENST00000376480.7
NPPB	NM_002521.3	ENST00000376468.4
KIAA2013	NM_138346.3	ENST00000376572.8
PLOD1	NM_000302.4	ENST00000196061.5
MFN2	NM_014874.4	ENST00000235329.10
MIIP	NM_021933.4	ENST00000235332.6
TNFRSF8	NM_001243.5	ENST00000263932.7
TNFRSF1B	NM_001066.3	ENST00000376259.7
VPS13D	NM_015378.4	ENST00000620676.6
DHRS3	NM_004753.7	ENST00000616661.5
AADACL4	NM_001013630.2	ENST00000376221.2
AADACL3	NM_001103170.3	ENST00000359318.8
CFAP107	NM_152290.4	ENST00000614859.5
PRAMEF12	NM_001080830.5	ENST00000357726.5
PRAMEF1	NM_023013.4	ENST00000332296.7
PRAMEF11	NM_001146344.3	ENST00000619922.1
HNRNPCL1	NM_001013631.3	ENST00000317869.7
PRAMEF2	NM_023014.1	ENST00000240189.2
PRAMEF4	NM_001009611.4	ENST00000235349.6
PRAMEF10	NM_001039361.4	ENST00000235347.4
PRAMEF7	NM_001012277.5	ENST00000697200.1
PRAMEF6	NM_001010889.2	ENST00000376189.5
PRAMEF27	NM_001300891.2	ENST00000436041.6
HNRNPCL3	NM_001382358.1	ENST00000617807.3
PRAMEF25	NM_001310134.3	ENST00000619661.3
HNRNPCL2	NM_001136561.3	ENST00000621994.3
PRAMEF26	NM_001306072.3	ENST00000624207.2
HNRNPCL4	NM_001302551.2	ENST00000323770.8
PRAMEF9	NM_001010890.3	ENST00000415919.3
PRAMEF13	NM_001291380.1	ENST00000625019.3
PRAMEF18	NM_001099850.2	ENST00000624297.3
PRAMEF5	NM_001013407.5	ENST00000622421.3
PRAMEF8	NM_001012276.3	ENST00000357367.7
PRAMEF33	NM_001291381.1	ENST00000437300.2
PRAMEF15	NM_001098376.3	ENST00000376152.2
PRAMEF14	NM_001024661.2	ENST00000334600.7
PRAMEF19	NM_001099790.5	ENST00000376101.4
PRAMEF17	NM_001099851.3	ENST00000376098.4
PRAMEF20	NM_001099852.2	ENST00000602960.2
LRRC38	NM_001010847.2	ENST00000376085.4
PDPN	NM_006474.5	ENST00000621990.5
PRDM2	NM_001393986.1	ENST00000311066.10
KAZN	NM_201628.3	ENST00000376030.7
TMEM51	NM_001136218.2	ENST00000376008.3
FHAD1	NM_001391957.1	ENST00000688493.1
EFHD2	NM_024329.6	ENST00000375980.9
CTRC	NM_007272.3	ENST00000375949.5
CELA2A	NM_033440.3	ENST00000359621.5
CELA2B	NM_015849.3	ENST00000375910.8
CASP9	NM_001229.5	ENST00000333868.10
DNAJC16	NM_015291.4	ENST00000375847.8
AGMAT	NM_024758.5	ENST00000375826.4
DDI2	NM_032341.5	ENST00000480945.6
RSC1A1	NM_006511.3	ENST00000345034.2
PLEKHM2	NM_015164.4	ENST00000375799.8
SLC25A34	NM_207348.3	ENST00000294454.6
TMEM82	NM_001013641.3	ENST00000375782.2
FBLIM1	NM_017556.4	ENST00000375766.8
UQCRHL	NM_001089591.2	ENST00000696689.1
SPEN	NM_015001.3	ENST00000375759.8
ZBTB17	NM_003443.3	ENST00000375743.9
SRARP	NM_178840.4	ENST00000329454.2
HSPB7	NM_014424.5	ENST00000311890.14
CLCNKA	NM_004070.4	ENST00000331433.5
CLCNKB	NM_000085.5	ENST00000375679.9
FAM131C	NM_182623.3	ENST00000375662.5
EPHA2	NM_004431.5	ENST00000358432.8
ARHGEF19	NM_153213.5	ENST00000270747.8
CPLANE2	NM_030907.4	ENST00000375599.8
FBXO42	NM_018994.3	ENST00000375592.8
SZRD1	NM_001114600.3	ENST00000401088.9
SPATA21	NM_198546.1	ENST00000335496.5
NECAP2	NM_018090.5	ENST00000337132.10
CROCC	NM_014675.5	ENST00000375541.10
MFAP2	NM_002403.4	ENST00000375535.4
ATP13A2	NM_022089.4	ENST00000326735.13
SDHB	NM_003000.3	ENST00000375499.8
PADI2	NM_007365.3	ENST00000375486.9
PADI1	NM_013358.3	ENST00000375471.5
PADI3	NM_016233.2	ENST00000375460.3
PADI4	NM_012387.3	ENST00000375448.4
PADI6	NM_207421.4	ENST00000619609.1
RCC2	NM_018715.4	ENST00000375436.9
ARHGEF10L	NM_018125.4	ENST00000361221.8
ACTL8	NM_030812.3	ENST00000375406.2
IGSF21	NM_032880.5	ENST00000251296.4
KLHDC7A	NM_152375.3	ENST00000400664.3
PAX7	NM_001135254.2	ENST00000420770.7
TAS1R2	NM_152232.6	ENST00000375371.4
ALDH4A1	NM_003748.4	ENST00000375341.8
IFFO2	NM_001136265.2	ENST00000455833.7
UBR4	NM_020765.3	ENST00000375254.8
EMC1	NM_015047.3	ENST00000477853.6
MRTO4	NM_016183.4	ENST00000330263.5
AKR7A3	NM_012067.3	ENST00000361640.5
AKR7A2	NM_003689.4	ENST00000235835.8
SLC66A1	NM_001040125.2	ENST00000375153.8
CAPZB	NM_004930.5	ENST00000264202.8
MICOS10	NM_001032363.4	ENST00000322753.7
NBL1	NM_005380.8	ENST00000375136.8
HTR6	NM_000871.3	ENST00000289753.2
TMCO4	NM_181719.7	ENST00000294543.11
RNF186	NM_019062.2	ENST00000375121.4
OTUD3	NM_015207.2	ENST00000375120.4
PLA2G2E	NM_014589.3	ENST00000375116.3
PLA2G2A	NM_001395463.1	ENST00000482011.3
PLA2G5	NM_000929.3	ENST00000375108.4
PLA2G2D	NM_012400.4	ENST00000375105.8
PLA2G2F	NM_022819.4	ENST00000375102.4
PLA2G2C	NM_001367969.2	ENST00000679259.1
UBXN10	NM_152376.5	ENST00000375099.4
VWA5B1	NM_001039500.3	ENST00000289815.13
CAMK2N1	NM_018584.6	ENST00000375078.4
MUL1	NM_024544.3	ENST00000264198.5
FAM43B	NM_207334.3	ENST00000332947.6
CDA	NM_001785.3	ENST00000375071.4
PINK1	NM_032409.3	ENST00000321556.5
DDOST	NM_005216.5	ENST00000602624.7
KIF17	NM_001122819.3	ENST00000400463.8
SH2D5	NM_001103161.2	ENST00000444387.7
HP1BP3	NM_001372052.1	ENST00000438032.6
EIF4G3	NM_001391906.1	ENST00000602326.6
ECE1	NM_001397.3	ENST00000374893.11
NBPF3	NM_032264.6	ENST00000318249.10
ALPL	NM_000478.6	ENST00000374840.8
RAP1GAP	NM_002885.4	ENST00000374765.9
USP48	NM_032236.8	ENST00000308271.14
LDLRAD2	NM_001013693.3	ENST00000344642.7
HSPG2	NM_005529.7	ENST00000374695.8
CELA3B	NM_007352.4	ENST00000337107.11
CELA3A	NM_005747.5	ENST00000290122.8
CDC42	NM_001791.4	ENST00000656825.1
WNT4	NM_030761.5	ENST00000290167.11
ZBTB40	NM_014870.4	ENST00000375647.5
EPHA8	NM_020526.5	ENST00000166244.8
C1QA	NM_015991.4	ENST00000374642.8
C1QC	NM_172369.5	ENST00000374640.9
C1QB	NM_001378156.1	ENST00000509305.6
EPHB2	NM_017449.5	ENST00000374630.8
LACTBL1	NM_001289974.2	ENST00000426928.7
TEX46	NM_001242521.2	ENST00000566855.4
KDM1A	NM_001009999.3	ENST00000400181.9
LUZP1	NM_001395462.2	ENST00000302291.9
HTR1D	NM_000864.5	ENST00000374619.2
HNRNPR	NM_005826.5	ENST00000302271.11
ZNF436	NM_001077195.2	ENST00000314011.9
TCEA3	NM_003196.3	ENST00000450454.7
ASAP3	NM_017707.4	ENST00000336689.8
E2F2	NM_004091.4	ENST00000361729.3
ID3	NM_002167.5	ENST00000374561.6
RPL11	NM_000975.5	ENST00000643754.2
ELOA	NM_003198.3	ENST00000613537.5
PITHD1	NM_020362.5	ENST00000246151.9
LYPLA2	NM_007260.3	ENST00000374514.8
GALE	NM_001008216.2	ENST00000617979.5
HMGCL	NM_000191.3	ENST00000374490.8
FUCA1	NM_000147.5	ENST00000374479.4
CNR2	NM_001841.3	ENST00000374472.5
PNRC2	NM_017761.4	ENST00000334351.8
SRSF10	NM_054016.4	ENST00000492112.3
MYOM3	NM_152372.4	ENST00000374434.4
IL22RA1	NM_021258.4	ENST00000270800.2
IFNLR1	NM_170743.4	ENST00000327535.6
GRHL3	NM_198173.3	ENST00000361548.9
STPG1	NM_001199013.2	ENST00000337248.9
NIPAL3	NM_020448.5	ENST00000374399.9
RCAN3	NM_013441.4	ENST00000374395.9
NCMAP	NM_001010980.5	ENST00000374392.3
SRRM1	NM_005839.4	ENST00000323848.14
CLIC4	NM_013943.3	ENST00000374379.9
RUNX3	NM_004350.3	ENST00000308873.11
SYF2	NM_015484.5	ENST00000236273.9
RSRP1	NM_020317.5	ENST00000243189.12
RHD	NM_016124.6	ENST00000328664.9
TMEM50A	NM_014313.4	ENST00000374358.5
RHCE	NM_020485.8	ENST00000294413.13
MACO1	NM_018202.6	ENST00000374343.5
LDLRAP1	NM_015627.3	ENST00000374338.5
MAN1C1	NM_020379.4	ENST00000374332.9
SELENON	NM_020451.3	ENST00000361547.7
MTFR1L	NM_001099625.2	ENST00000374303.7
AUNIP	NM_024037.3	ENST00000374298.4
PAQR7	NM_178422.6	ENST00000675840.1
STMN1	NM_005563.4	ENST00000455785.7
PAFAH2	NM_000437.4	ENST00000374282.8
EXTL1	NM_004455.3	ENST00000374280.4
SLC30A2	NM_001004434.3	ENST00000374276.4
TRIM63	NM_032588.4	ENST00000374272.4
PDIK1L	NM_152835.5	ENST00000374269.2
FAM110D	NM_024869.3	ENST00000374268.5
C1orf232	NM_001364669.2	ENST00000634842.2
ZNF593OS	NM_001395468.1	ENST00000433939.7
ZNF593	NM_015871.5	ENST00000374266.7
CNKSR1	NM_006314.3	ENST00000361530.11
CATSPER4	NM_198137.2	ENST00000456354.7
CEP85	NM_001319944.2	ENST00000451429.8
SH3BGRL3	NM_031286.4	ENST00000270792.10
UBXN11	NM_001389556.1	ENST00000374222.6
CD52	NM_001803.3	ENST00000374213.3
CRYBG2	NM_001039775.4	ENST00000308182.10
ZNF683	NM_001114759.3	ENST00000349618.8
LIN28A	NM_024674.6	ENST00000326279.11
DHDDS	NM_205861.3	ENST00000236342.12
HMGN2	NM_005517.4	ENST00000361427.6
RPS6KA1	NM_002953.4	ENST00000374168.7
ARID1A	NM_006015.6	ENST00000324856.13
PIGV	NM_017837.4	ENST00000674202.1
ZDHHC18	NM_032283.3	ENST00000374142.9
SFN	NM_006142.5	ENST00000339276.6
GPN2	NM_018066.4	ENST00000374135.9
GPATCH3	NM_022078.3	ENST00000361720.10
NUDC	NM_006600.4	ENST00000321265.10
NR0B2	NM_021969.3	ENST00000254227.4
KDF1	NM_152365.3	ENST00000320567.6
TRNP1	NM_001013642.3	ENST00000522111.3
TENT5B	NM_052943.4	ENST00000289166.6
SLC9A1	NM_003047.5	ENST00000263980.8
WDTC1	NM_001276252.2	ENST00000319394.8
TMEM222	NM_032125.3	ENST00000374076.9
SYTL1	NM_001193308.2	ENST00000616558.5
MAP3K6	NM_004672.5	ENST00000357582.3
FCN3	NM_003665.4	ENST00000270879.9
CD164L2	NM_001330448.1	ENST00000374030.3
GPR3	NM_005281.4	ENST00000374024.4
WASF2	NM_006990.5	ENST00000618852.5
AHDC1	NM_001371928.1	ENST00000673934.1
FGR	NM_005248.3	ENST00000374005.8
IFI6	NM_002038.4	ENST00000361157.11
FAM76A	NM_152660.3	ENST00000373954.11
STX12	NM_177424.3	ENST00000373943.9
PPP1R8	NM_014110.5	ENST00000311772.10
THEMIS2	NM_001105556.3	ENST00000373921.8
RPA2	NM_002946.5	ENST00000373912.8
SMPDL3B	NM_014474.4	ENST00000373894.8
XKR8	NM_018053.4	ENST00000373884.6
EYA3	NM_001990.4	ENST00000373871.8
PTAFR	NM_000952.5	ENST00000373857.8
DNAJC8	NM_014280.3	ENST00000263697.6
ATP5IF1	NM_016311.5	ENST00000335514.10
SESN2	NM_031459.5	ENST00000253063.4
MED18	NM_017638.3	ENST00000373842.9
PHACTR4	NM_001048183.3	ENST00000373839.8
RCC1	NM_001381865.2	ENST00000683442.1
TRNAU1AP	NM_017846.5	ENST00000373830.4
RAB42	NM_001193532.3	ENST00000465518.3
TAF12	NM_005644.4	ENST00000373824.9
GMEB1	NM_001319674.2	ENST00000373816.6
YTHDF2	NM_016258.3	ENST00000373812.8
OPRD1	NM_000911.4	ENST00000234961.7
EPB41	NM_001376013.1	ENST00000343067.9
TMEM200B	NM_001003682.4	ENST00000521452.2
SRSF4	NM_005626.5	ENST00000373795.7
MECR	NM_016011.5	ENST00000263702.11
PTPRU	NM_133178.4	ENST00000373779.8
MATN1	NM_002379.3	ENST00000373765.5
LAPTM5	NM_006762.3	ENST00000294507.4
SDC3	NM_014654.4	ENST00000339394.7
PUM1	NM_001020658.2	ENST00000426105.7
NKAIN1	NM_024522.3	ENST00000373736.7
SNRNP40	NM_004814.3	ENST00000263694.9
ZCCHC17	NM_016505.4	ENST00000344147.10
FABP3	NM_004102.5	ENST00000373713.7
SERINC2	NM_178865.5	ENST00000373709.8
TINAGL1	NM_022164.3	ENST00000271064.12
HCRTR1	NM_001525.3	ENST00000403528.7
PEF1	NM_012392.4	ENST00000373703.5
COL16A1	NM_001856.4	ENST00000373672.8
ADGRB2	NM_001364857.2	ENST00000373658.8
SPOCD1	NM_144569.7	ENST00000360482.7
PTP4A2	NM_080391.4	ENST00000647444.2
LOC128031832	NM_001414727.1	ENST00000679970.1
KHDRBS1	NM_006559.3	ENST00000327300.12
TMEM39B	NM_018056.4	ENST00000336294.10
KPNA6	NM_012316.5	ENST00000373625.8
TXLNA	NM_175852.4	ENST00000373610.8
CCDC28B	NM_024296.5	ENST00000373602.10
IQCC	NM_018134.3	ENST00000291358.11
DCDC2B	NM_001099434.2	ENST00000409358.2
TMEM234	NM_019118.5	ENST00000309777.11
EIF3I	NM_003757.4	ENST00000677711.2
FAM167B	NM_032648.3	ENST00000373582.4
LCK	NM_005356.5	ENST00000336890.10
HDAC1	NM_004964.3	ENST00000373548.8
MARCKSL1	NM_023009.7	ENST00000329421.8
FAM229A	NM_001167676.2	ENST00000432622.2
TSSK3	NM_052841.4	ENST00000373534.4
BSDC1	NM_018045.8	ENST00000455895.7
ZBTB8B	NM_001145720.2	ENST00000609129.2
ZBTB8A	NM_001040441.3	ENST00000373510.9
ZBTB8OS	NM_178547.5	ENST00000468695.6
RBBP4	NM_005610.3	ENST00000373493.10
SYNC	NM_030786.3	ENST00000409190.8
NHSL3	NM_020888.3	ENST00000401073.7
YARS1	NM_003680.4	ENST00000373477.9
S100PBP	NM_022753.4	ENST00000373475.10
FNDC5	NM_153756.3	ENST00000373471.9
HPCA	NM_002143.3	ENST00000373467.4
TMEM54	NM_033504.4	ENST00000373463.8
RNF19B	NM_001300826.2	ENST00000235150.5
AK2	NM_001625.4	ENST00000672715.1
AZIN2	NM_052998.4	ENST00000294517.11
ZNF362	NM_152493.3	ENST00000539719.6
TRIM62	NM_018207.3	ENST00000291416.10
A3GALT2	NM_001080438.1	ENST00000442999.3
PHC2	NM_001385109.1	ENST00000683057.1
ZSCAN20	NM_001377376.1	ENST00000684572.1
CSMD2	NM_001281956.2	ENST00000373381.9
HMGB4	NM_001379301.1	ENST00000681531.1
C1orf94	NM_001134734.2	ENST00000488417.2
GJB5	NM_005268.4	ENST00000338513.1
GJB4	NM_153212.3	ENST00000339480.3
GJB3	NM_024009.3	ENST00000373366.3
GJA4	NM_002060.3	ENST00000342280.5
SMIM12	NM_138428.6	ENST00000521580.3
DLGAP3	NM_001080418.3	ENST00000373347.6
TMEM35B	NM_001195156.2	ENST00000373337.4
ZMYM6	NM_007167.4	ENST00000357182.9
ZMYM1	NM_024772.5	ENST00000359858.9
SFPQ	NM_005066.3	ENST00000357214.6
ZMYM4	NM_005095.3	ENST00000314607.11
KIAA0319L	NM_024874.5	ENST00000325722.8
NCDN	NM_014284.3	ENST00000373243.7
TFAP2E	NM_178548.4	ENST00000373235.4
PSMB2	NM_002794.5	ENST00000373237.4
C1orf216	NM_152374.2	ENST00000270815.5
CLSPN	NM_022111.4	ENST00000318121.8
AGO4	NM_017629.4	ENST00000373210.4
AGO1	NM_012199.5	ENST00000373204.6
AGO3	NM_024852.4	ENST00000373191.9
TEKT2	NM_014466.3	ENST00000207457.8
ADPRS	NM_017825.3	ENST00000373178.5
COL8A2	NM_005202.4	ENST00000397799.2
TRAPPC3	NM_014408.5	ENST00000373166.8
MAP7D1	NM_001388490.1	ENST00000474796.2
THRAP3	NM_005119.4	ENST00000354618.10
SH3D21	NM_001162530.2	ENST00000453908.8
EVA1B	NM_001304762.2	ENST00000490466.2
STK40	NM_001282547.2	ENST00000373132.4
LSM10	NM_032881.3	ENST00000315732.3
OSCP1	NM_145047.5	ENST00000235532.9
MRPS15	NM_031280.4	ENST00000373116.6
CSF3R	NM_000760.4	ENST00000373106.6
GRIK3	NM_000831.4	ENST00000373091.8
ZC3H12A	NM_025079.3	ENST00000373087.7
MEAF6	NM_001270875.3	ENST00000296214.10
SNIP1	NM_024700.4	ENST00000296215.8
DNALI1	NM_003462.5	ENST00000652629.1
GNL2	NM_013285.3	ENST00000373062.8
RSPO1	NM_001242908.2	ENST00000356545.7
AIRIM	NM_001350770.2	ENST00000486637.2
CDCA8	NM_001256875.2	ENST00000373055.6
EPHA10	NM_001099439.2	ENST00000373048.9
MANEAL	NM_001113482.2	ENST00000373045.11
YRDC	NM_024640.4	ENST00000373044.3
C1orf122	NM_198446.3	ENST00000373042.5
MTF1	NM_005955.3	ENST00000373036.5
INPP5B	NM_005540.3	ENST00000373024.8
SF3A3	NM_006802.4	ENST00000373019.5
FHL3	NM_004468.5	ENST00000373016.4
UTP11	NM_016037.4	ENST00000373014.5
POU3F1	NM_002699.4	ENST00000373012.5
RRAGC	NM_022157.4	ENST00000373001.4
MYCBP	NM_012333.5	ENST00000397572.5
GJA9	NM_030772.5	ENST00000357771.5
RHBDL2	NM_017821.5	ENST00000372990.6
AKIRIN1	NM_024595.3	ENST00000432648.8
NDUFS5	NM_004552.3	ENST00000372969.8
MACF1	NM_001394062.1	ENST00000564288.6
BMP8A	NM_181809.4	ENST00000331593.6
PABPC4	NM_001135653.2	ENST00000372858.8
HEYL	NM_014571.4	ENST00000372852.4
NT5C1A	NM_032526.3	ENST00000235628.2
HPCAL4	NM_016257.4	ENST00000372844.8
PPIE	NM_006112.4	ENST00000324379.10
BMP8B	NM_001720.5	ENST00000372827.8
OXCT2	NM_022120.2	ENST00000327582.5
TRIT1	NM_017646.6	ENST00000316891.10
MYCL	NM_001033081.3	ENST00000372816.3
MFSD2A	NM_032793.5	ENST00000372811.10
CAP1	NM_006367.4	ENST00000372805.8
PPT1	NM_000310.4	ENST00000642050.2
RLF	NM_012421.4	ENST00000372771.5
TMCO2	NM_001008740.4	ENST00000372766.4
ZMPSTE24	NM_005857.5	ENST00000372759.4
COL9A2	NM_001852.4	ENST00000372748.8
SMAP2	NM_022733.3	ENST00000372718.8
ZFP69B	NM_023070.3	ENST00000361584.5
ZFP69	NM_001320179.2	ENST00000372706.6
EXO5	NM_001346953.2	ENST00000415550.6
ZNF684	NM_152373.4	ENST00000372699.8
RIMS3	NM_014747.3	ENST00000372684.8
NFYC	NM_014223.5	ENST00000447388.8
KCNQ4	NM_004700.4	ENST00000347132.10
CITED4	NM_133467.3	ENST00000372638.4
CTPS1	NM_001905.4	ENST00000650070.2
SLFNL1	NM_144990.4	ENST00000302946.13
SCMH1	NM_001394311.1	ENST00000695335.1
EDN2	NM_001956.5	ENST00000372587.5
HIVEP3	NM_024503.5	ENST00000372583.6
GUCA2B	NM_007102.3	ENST00000372581.2
GUCA2A	NM_033553.3	ENST00000357001.3
FOXJ3	NM_014947.5	ENST00000361346.6
RIMKLA	NM_173642.4	ENST00000431473.4
ZMYND12	NM_032257.5	ENST00000372565.8
CCDC30	NM_001395517.1	ENST00000657597.2
PPCS	NM_024664.4	ENST00000372561.4
PPIH	NM_006347.4	ENST00000304979.8
YBX1	NM_004559.5	ENST00000321358.12
CLDN19	NM_148960.3	ENST00000296387.6
P3H1	NM_022356.4	ENST00000296388.10
C1orf50	NM_024097.4	ENST00000372525.7
TMEM269	NM_001354602.2	ENST00000637012.2
SVBP	NM_199342.4	ENST00000372521.9
ERMAP	NM_001017922.2	ENST00000372517.8
ZNF691	NM_001242739.2	ENST00000651192.1
SLC2A1	NM_006516.4	ENST00000426263.10
CFAP144	NM_001101376.3	ENST00000335282.5
EBNA1BP2	NM_006824.3	ENST00000236051.3
CFAP57	NM_001378189.1	ENST00000372492.9
TMEM125	NM_144626.3	ENST00000439858.6
C1orf210	NM_182517.3	ENST00000523677.6
TIE1	NM_005424.5	ENST00000372476.8
MPL	NM_005373.3	ENST00000372470.9
CDC20	NM_001255.3	ENST00000310955.11
